,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
working_day_0,27,40,30,25,24,20,40,81,99,84,71,70,70,55,49,49,63,49,83,103,70,56,64,49
working_day_1,61,68,60,52,48,68,93,167,141,155,60,47,58,72,44,30,21,25,29,33,34,44,63,84
working_day_2,70,44,73,79,71,88,104,149,190,174,172,182,51,25,31,35,28,34,29,31,27,28,102,136
non_working_day_3,167,96,94,103,91,62,50,90,123,101,84,56,42,28,24,28,34,39,73,66,76,103,122,129
non_working_day_4,95,67,57,68,54,30,28,34,31,30,29,25,17,22,17,12,12,12,15,18,15,13,22,21
working_day_5,29,22,10,5,3,19,49,49,78,80,91,49,27,20,17,18,25,55,60,59,56,123,106,86
working_day_6,63,70,59,49,37,29,55,53,104,75,69,48,29,23,17,15,12,18,19,20,28,50,91,86
working_day_7,85,84,72,69,66,56,70,178,242,197,217,92,105,62,54,62,60,65,78,75,94,97,76,47
working_day_8,49,54,59,52,45,46,104,191,298,106,88,92,60,47,32,48,65,67,62,29,40,34,69,114
working_day_9,72,66,56,65,52,40,40,70,143,140,107,86,55,42,34,36,37,42,40,38,53,141,119,112
non_working_day_10,124,98,51,35,22,15,27,20,29,27,30,36,28,21,20,19,15,18,21,21,43,71,98,108
non_working_day_11,30,23,23,25,40,34,25,22,25,39,37,13,18,16,10,9,11,17,27,39,89,75,56,66
working_day_12,82,75,86,66,67,57,77,162,185,170,88,102,42,40,33,30,26,40,35,44,90,115,113,46
working_day_13,37,35,22,22,18,17,35,70,93,79,82,69,67,40,20,25,23,37,55,87,96,85,152,216
working_day_14,170,121,93,77,84,93,98,172,140,115,85,76,47,54,44,33,30,37,50,86,102,169,255,215
working_day_15,140,117,99,95,132,133,131,214,244,86,84,52,41,38,71,121,132,87,86,139,149,149,173,142
non_working_day_16,106,116,95,96,46,32,40,54,89,135,75,64,88,66,44,31,42,47,55,59,82,102,106,98
non_working_day_17,87,85,102,83,57,56,61,83,92,84,73,20,20,13,19,19,19,29,43,52,71,71,86,128
working_day_18,27,15,14,12,17,21,28,55,68,62,52,46,34,17,15,13,14,21,37,88,114,163,238,196
working_day_19,229,212,172,161,140,130,154,250,329,310,186,84,38,25,21,19,24,22,25,30,35,64,140,148
working_day_20,153,171,161,147,141,132,167,220,258,216,95,22,22,16,9,12,26,26,23,23,29,54,88,157
working_day_21,154,141,177,168,138,133,167,266,397,287,299,256,99,93,68,47,74,86,113,139,193,243,260,255
non_working_day_22,223,208,151,163,123,110,128,119,153,154,164,95,60,59,50,41,45,40,40,60,114,137,157,161
non_working_day_23,151,137,107,127,104,78,97,102,102,73,49,39,45,43,33,24,23,26,38,41,56,62,57,51
working_day_24,63,77,55,32,29,46,50,67,110,108,120,68,42,37,33,36,37,40,46,43,42,28,24,29
working_day_25,30,26,40,46,59,63,72,110,197,239,138,69,50,36,19,28,22,26,28,36,31,17,12,14
working_day_26,23,15,33,20,16,21,33,36,47,51,30,37,35,21,11,10,13,13,13,14,10,13,15,8
working_day_27,5,5,6,25,27,43,67,72,87,99,79,70,30,21,19,29,14,18,22,34,32,62,73,58
non_working_day_28,38,11,9,8,5,4,6,21,39,18,11,9,11,8,7,5,5,9,11,25,33,22,16,17
non_working_day_29,26,24,26,17,15,24,19,24,32,30,25,34,16,11,22,18,14,22,34,47,63,58,57,74
non_working_day_30,13,41,66,58,43,45,40,56,58,51,46,27,27,25,29,25,29,23,21,34,35,39,66,62
working_day_31,69,90,95,78,80,84,86,128,231,278,138,68,51,57,39,48,33,26,36,30,54,53,84,73
working_day_32,50,44,33,37,51,63,95,119,169,144,128,111,57,30,31,18,21,19,28,23,28,19,29,79
working_day_33,119,91,85,79,74,87,83,164,137,86,107,80,39,18,38,53,34,30,28,27,26,24,20,33
working_day_34,120,89,76,71,76,80,85,100,148,139,140,175,94,35,45,37,47,60,62,60,38,29,31,31
non_working_day_35,44,87,84,69,61,59,67,87,100,113,36,32,32,23,20,17,13,17,18,17,17,20,12,14
non_working_day_36,15,10,9,9,6,19,25,53,61,60,11,13,11,7,4,3,7,9,11,14,16,11,9,7
working_day_37,15,37,41,37,48,54,72,150,209,60,34,29,18,11,10,20,16,19,20,21,26,21,14,13
non_working_day_38,12,11,6,18,14,10,11,40,84,75,71,53,19,13,19,10,8,12,9,9,14,35,58,45
non_working_day_39,34,28,43,44,28,12,16,17,21,14,15,14,15,13,16,10,13,17,16,13,23,50,42,31
working_day_40,62,100,105,84,77,73,100,152,199,200,134,74,56,36,38,40,45,34,26,26,44,40,29,27
working_day_41,27,19,15,28,29,45,89,190,203,119,66,36,32,20,29,39,35,28,23,26,30,25,17,14
non_working_day_42,23,34,26,39,18,13,13,21,35,30,37,38,36,25,25,17,14,18,19,13,14,19,29,19
non_working_day_43,21,14,13,21,6,14,17,16,14,22,16,16,18,20,19,13,18,16,23,56,79,23,19,15
working_day_44,16,48,32,29,44,78,106,249,309,242,157,141,84,78,53,68,43,55,57,30,24,18,13,9
